model	threshold	n_windows	total_pred_sites_nonzero	total_hamming_errors	mean_hamming_error_rate	total_switch_errors	mean_switch_error_rate	mean_phased_site_accuracy_pct	mean_truth_correct_pct	mean_raw_block_n50_bp	mean_median_block_span_bp
Phase6C_read_backbone	NA	17	60310	143	0.002638834719427102	87	0.002166881333110115	99.7361165280573	65.23389706805126	102515.88235294117	547.1176470588235
Phase7A_hand_panel_fill	NA	17	64837	300	0.005858444134139037	263	0.006680170616630502	99.4141555865861	70.87090123494386	82889.94117647059	771.6470588235294
Phase8F_ancestry_weighted_multiwindow	0.50	17	64413	250	0.004783677320360086	207	0.005258405473321815	99.521632267964	70.60013304237543	82378.64705882352	740.8823529411765
Phase8F_ancestry_weighted_multiwindow	0.70	17	64017	218	0.004117173947346874	174	0.00433938016076035	99.58828260526532	70.0812423317283	82162.35294117648	714.3529411764706
Phase8F_ancestry_weighted_multiwindow	0.80	17	63560	195	0.0035222842367647637	150	0.0036661754010036463	99.64777157632352	69.51837841829787	82140.4705882353	685.8235294117648
Phase8F_ancestry_weighted_multiwindow	0.90	17	62759	162	0.0028884054769300668	109	0.0026267862897748507	99.711159452307	68.45719388748748	82297.4705882353	643.8823529411765
