config	n_windows	total_accepted_edges	total_merged_sites	total_accepted_span_gain_sum	mean_accepted_span_gain	total_pred_sites_nonzero	total_hamming_errors	mean_hamming_error_rate	total_switch_errors	mean_switch_error_rate	mean_phased_site_accuracy_pct	mean_truth_correct_pct	mean_raw_block_n50_bp	mean_median_block_span_bp	mean_max_block_span_bp
p995_m100_gain50k_hybrid_d2_c8_s1mb_g500k	17	6	64	391377	65229.5	63560	195	0.0035222842367647637	150	0.0036653471448433684	99.64777157632352	69.51837841829787	82232.94117647059	686.0	151054.70588235295
p995_m50_gain10k_hybrid_d1_c6_s1mb_g500k	17	413	3371	12023420	29112.39709443099	63560	195	0.0035222842367647637	151	0.003658363549517538	99.64777157632352	69.51837841829787	92024.0	710.8823529411765	176260.4705882353
p995_m50_gain25k_hybrid_d1_c6_s1mb_g500k	17	189	1510	8436888	44639.619047619046	63560	195	0.0035222842367647637	151	0.0036778200206596568	99.64777157632352	69.51837841829787	90215.70588235294	695.9411764705883	176260.4705882353
p995_m50_gain25k_utility_d1_c6_s1mb_g500k	17	189	1510	8436888	44639.619047619046	63560	195	0.0035222842367647637	151	0.0036778200206596568	99.64777157632352	69.51837841829787	90215.70588235294	695.9411764705883	176260.4705882353
p996_m100_gain25k_hybrid_d1_c6_s1mb_g500k	17	28	304	1017695	36346.25	63560	195	0.0035222842367647637	150	0.003663491489044974	99.64777157632352	69.51837841829787	82375.05882352941	686.7647058823529	153384.76470588235
p996_m50_gain10k_hybrid_d1_c6_s1mb_g500k	17	346	2757	9524267	27526.78323699422	63560	195	0.0035222842367647637	153	0.0037071025581830934	99.64777157632352	69.51837841829787	89097.88235294117	705.2941176470588	172817.76470588235
p997_m50_gain25k_hybrid_d1_c6_s1mb_g500k	17	60	470	2285609	38093.48333333333	63560	195	0.0035222842367647637	152	0.003713510249466747	99.64777157632352	69.51837841829787	84287.29411764706	690.4705882352941	156031.58823529413
