config	n_windows	accepted_prediction_rows	total_pred_sites_nonzero	total_hamming_errors	mean_hamming_error_rate	total_switch_errors	mean_switch_error_rate	mean_phased_site_accuracy_pct	mean_truth_correct_pct	mean_raw_block_n50_bp	mean_median_block_span_bp	mean_max_block_span_bp
p995_c500_m50_u3_g75k	17	681	63560	195	0.0035222842367647637	152	0.0036583424798256894	99.64777157632352	69.51837841829787	83046.58823529411	678.7058823529412	145988.88235294117
p995_c550_m50_u3_g25k	17	619	63560	195	0.0035222842367647637	152	0.003663446260289377	99.64777157632352	69.51837841829787	82934.88235294117	681.2352941176471	145988.88235294117
p996_c500_m50_u3_g75k	17	383	63560	195	0.0035222842367647637	151	0.003659761987983656	99.64777157632352	69.51837841829787	82670.76470588235	681.9411764705883	142633.76470588235
p997_c500_m25_u2_g100k	17	49	63560	195	0.0035222842367647637	150	0.0036619551384337746	99.64777157632352	69.51837841829787	82002.0	683.1764705882352	138778.4705882353
