config	n_windows	total_accepted_edges	total_merged_sites	total_pred_sites_nonzero	total_hamming_errors	mean_hamming_error_rate	total_switch_errors	mean_switch_error_rate	mean_phased_site_accuracy_pct	mean_truth_correct_pct	mean_raw_block_n50_bp	mean_median_block_span_bp	mean_max_block_span_bp
p995_m25_d1_c3_s150k_g100k	17	715	8891	63560	199	0.0036305337662290763	156	0.003788182905791344	99.63694662337709	69.5112111908137	83045.94117647059	705.1764705882352	142275.0588235294
p995_m50_d1_c3_s150k_g75k	17	566	7561	63560	195	0.0035222842367647637	153	0.0036902947713285264	99.64777157632352	69.51837841829787	82740.4705882353	696.9411764705883	142107.64705882352
p995_m50_d2_c4_s200k_g75k	17	802	8371	63560	195	0.0035222842367647637	153	0.003671031050797375	99.64777157632352	69.51837841829787	83230.58823529411	692.0	145344.64705882352
p996_m50_d1_c3_s150k_g75k	17	329	4421	63560	195	0.0035222842367647637	151	0.003660421592903494	99.64777157632352	69.51837841829787	82374.4705882353	688.0	139840.88235294117
p997_m25_d1_c3_s150k_g100k	17	41	636	63560	195	0.0035222842367647637	150	0.0036623572637622856	99.64777157632352	69.51837841829787	81994.23529411765	683.7647058823529	138778.4705882353
p997_m50_d2_c4_s200k_g75k	17	45	654	63560	195	0.0035222842367647637	150	0.0036622161553701814	99.64777157632352	69.51837841829787	81995.76470588235	683.0588235294117	138778.4705882353
