model	threshold	n_windows	total_pred_sites_nonzero	total_hamming_errors	mean_hamming_error_rate	total_switch_errors	mean_switch_error_rate	mean_phased_site_accuracy_pct	mean_truth_correct_pct	mean_raw_block_n50_bp	mean_median_block_span_bp	mean_max_block_span_bp
Phase9A_bridge_on_Phase8F_t0.50	0.90	17	64413	348	0.006379841154831068	248	0.005718244748681371	99.3620158845169	70.48771606315438	94792.4705882353	1151.3529411764705	204975.88235294117
Phase9A_bridge_on_Phase8F_t0.50	0.95	17	64413	313	0.0058521053315584125	242	0.005611838790343018	99.41478946684416	70.5253376961476	94486.4705882353	1146.8235294117646	202267.11764705883
Phase9A_bridge_on_Phase8F_t0.50	0.98	17	64413	282	0.005394374175138428	238	0.005592399303527814	99.46056258248616	70.55866271315378	92329.23529411765	1012.0588235294117	183851.58823529413
Phase9A_bridge_on_Phase8F_t0.50	0.99	17	64413	277	0.005263639727131817	231	0.0054485081195079395	99.47363602728682	70.56659650594497	87638.94117647059	877.5882352941177	169515.11764705883
